community,median_property_value,crime_count,property_count,crime_rate_per_100,arbitrage_score,signal
HASKAYNE,4480000,0,11,0.0,-8.96,BUY
STARFIELD,1200000,0,15,0.0,-2.4,BUY
PINE CREEK,622000,0,15,0.0,-1.244,BUY
EAST SHEPARD INDUSTRIAL,392500,0,15,0.0,-0.785,BUY
MORAINE,169000,0,18,0.0,-0.338,HOLD
HOTCHKISS,51500,0,25,0.0,-0.103,HOLD
DOWNTOWN EAST VILLAGE,37000,0,689,0.0,-0.074,HOLD
EAU CLAIRE,37000,0,1280,0.0,-0.074,HOLD
DOWNTOWN WEST END,37000,0,1107,0.0,-0.074,HOLD
STONEY 1,26250,0,12,0.0,-0.052,HOLD
UPPER MOUNT ROYAL,15000,0,15,0.0,-0.03,HOLD
ERLTON,15000,0,357,0.0,-0.03,HOLD
SOUTH CALGARY,15000,0,385,0.0,-0.03,HOLD
SHAGANAPPI,15000,0,63,0.0,-0.03,HOLD
LOWER MOUNT ROYAL,15000,0,164,0.0,-0.03,HOLD
RICHMOND,15000,0,62,0.0,-0.03,HOLD
MISSION,15000,0,667,0.0,-0.03,HOLD
SUNALTA,15000,0,74,0.0,-0.03,HOLD
PARKHILL/STANLEY PARK,15000,0,55,0.0,-0.03,HOLD
SPRUCE CLIFF,15000,0,916,0.0,-0.03,HOLD
HILLHURST,15000,0,545,0.0,-0.03,HOLD
WEST HILLHURST,15000,0,252,0.0,-0.03,HOLD
HOUNSFIELD HEIGHTS/BRIAR HILL,15000,0,236,0.0,-0.03,HOLD
INGLEWOOD,15000,0,486,0.0,-0.03,HOLD
SUNNYSIDE,15000,0,383,0.0,-0.03,HOLD
QUEENSLAND,10000,0,30,0.0,-0.02,HOLD
MONTEREY PARK,10000,0,171,0.0,-0.02,HOLD
KELVIN GROVE,10000,0,14,0.0,-0.02,HOLD
SILVERADO,10000,0,162,0.0,-0.02,HOLD
WESTWINDS,10000,0,33,0.0,-0.02,HOLD
MILLRISE,10000,0,411,0.0,-0.02,HOLD
SHERWOOD,10000,0,154,0.0,-0.02,HOLD
KILLARNEY/GLENGARRY,10000,0,163,0.0,-0.02,HOLD
LINCOLN PARK,10000,0,566,0.0,-0.02,HOLD
SADDLE RIDGE,10000,0,805,0.0,-0.02,HOLD
ERIN WOODS,10000,0,148,0.0,-0.02,HOLD
RANCHLANDS,10000,0,16,0.0,-0.02,HOLD
SETON,10000,0,1464,0.0,-0.02,HOLD
SKYVIEW RANCH,10000,0,1482,0.0,-0.02,HOLD
EVANSTON,10000,0,109,0.0,-0.02,HOLD
PENBROOKE MEADOWS,10000,0,158,0.0,-0.02,HOLD
UNIVERSITY DISTRICT,10000,0,684,0.0,-0.02,HOLD
TUXEDO PARK,10000,0,87,0.0,-0.02,HOLD
TUSCANY,10000,0,446,0.0,-0.02,HOLD
VARSITY,10000,0,539,0.0,-0.02,HOLD
TARADALE,10000,0,174,0.0,-0.02,HOLD
WINDSOR PARK,10000,0,66,0.0,-0.02,HOLD
PARKLAND,10000,0,68,0.0,-0.02,HOLD
SAGE HILL,10000,0,1478,0.0,-0.02,HOLD
WEST SPRINGS,10000,0,636,0.0,-0.02,HOLD
GREENWOOD/GREENBRIAR,10000,0,114,0.0,-0.02,HOLD
HAWKWOOD,10000,0,162,0.0,-0.02,HOLD
ROCKY RIDGE,10000,0,481,0.0,-0.02,HOLD
RENFREW,10000,0,302,0.0,-0.02,HOLD
MAHOGANY,10000,0,965,0.0,-0.02,HOLD
SHAWNEE SLOPES,10000,0,551,0.0,-0.02,HOLD
HAYSBORO,10000,0,24,0.0,-0.02,HOLD
PATTERSON,10000,0,135,0.0,-0.02,HOLD
GARRISON WOODS,10000,0,233,0.0,-0.02,HOLD
MAYLAND HEIGHTS,10000,0,129,0.0,-0.02,HOLD
HARVEST HILLS,10000,0,329,0.0,-0.02,HOLD
HUNTINGTON HILLS,10000,0,175,0.0,-0.02,HOLD
NORTH HAVEN,10000,0,31,0.0,-0.02,HOLD
PALLISER,10000,0,124,0.0,-0.02,HOLD
GLACIER RIDGE,10000,0,116,0.0,-0.02,HOLD
VALLEY RIDGE,10000,0,78,0.0,-0.02,HOLD
PINERIDGE,10000,0,114,0.0,-0.02,HOLD
GARRISON GREEN,10000,0,199,0.0,-0.02,HOLD
HUXLEY,9760,0,10,0.0,-0.02,HOLD
WOLF WILLOW,10000,0,364,0.0,-0.02,HOLD
SPRINGBANK HILL,10000,0,848,0.0,-0.02,HOLD
PARKDALE,10000,0,119,0.0,-0.02,HOLD
SIGNAL HILL,10000,0,714,0.0,-0.02,HOLD
WALDEN,10000,0,182,0.0,-0.02,HOLD
PANORAMA HILLS,10000,0,766,0.0,-0.02,HOLD
EVERGREEN,10000,0,778,0.0,-0.02,HOLD
MONTGOMERY,10000,0,117,0.0,-0.02,HOLD
KINGSLAND,10000,0,45,0.0,-0.02,HOLD
ROYAL OAK,10000,0,461,0.0,-0.02,HOLD
GLAMORGAN,10000,0,19,0.0,-0.02,HOLD
SHAWNESSY,10000,0,262,0.0,-0.02,HOLD
RED CARPET/MOUNTVIEW MOBILE PARK,10000,0,93,0.0,-0.02,HOLD
MCKENZIE TOWNE,10000,0,1200,0.0,-0.02,HOLD
MOUNT PLEASANT,10000,0,66,0.0,-0.02,HOLD
LAKE BONAVISTA,10000,0,765,0.0,-0.02,HOLD
LEGACY,10000,0,862,0.0,-0.02,HOLD
LIVINGSTON,10000,0,260,0.0,-0.02,HOLD
MANCHESTER,10000,0,23,0.0,-0.02,HOLD
MIDNAPORE,10000,0,98,0.0,-0.02,HOLD
SOMERSET,10000,0,177,0.0,-0.02,HOLD
EDGEMONT,10000,0,50,0.0,-0.02,HOLD
KINCORA,10000,0,477,0.0,-0.02,HOLD
MARLBOROUGH PARK,10000,0,52,0.0,-0.02,HOLD
NOLAN HILL,245,0,28,0.0,-0.0,HOLD
BELMONT,10000,47,373,12.6,2.5,SELL
CURRIE BARRACKS,10000,66,446,14.8,2.94,SELL
DISCOVERY RIDGE,10000,169,405,41.73,8.326,SELL
COUNTRY HILLS VILLAGE,10000,388,752,51.6,10.299,SELL
CARRINGTON,10000,154,274,56.2,11.221,SELL
CORNERSTONE,10000,253,397,63.73,12.726,SELL
BRIDLEWOOD,10000,336,473,71.04,14.187,SELL
CHINATOWN,37000,286,317,90.22,17.97,SELL
CRANSTON,10000,675,716,94.27,18.835,SELL
ALPINE PARK,54000,22,23,95.65,19.022,SELL
COPPERFIELD,10000,490,496,98.79,19.738,SELL
CITYSCAPE,10000,253,247,102.43,20.466,SELL
ASPEN WOODS,10000,352,338,104.14,20.808,SELL
BELTLINE,25000,6836,6506,105.07,20.964,SELL
AUBURN BAY,10000,679,590,115.08,22.997,SELL
BELVEDERE,10000,230,179,128.49,25.678,SELL
COUGAR RIDGE,10000,202,148,136.49,27.277,SELL
CITADEL,10000,236,168,140.48,28.075,SELL
BRIDGELAND/RIVERSIDE,15000,1624,1087,149.4,29.85,SELL
BRENTWOOD,10000,1116,563,198.22,39.625,SELL
ARBOUR LAKE,10000,894,434,205.99,41.178,SELL
COUNTRY HILLS,10000,232,112,207.14,41.409,SELL
CHAPARRAL,10000,343,163,210.43,42.066,SELL
DOWNTOWN COMMERCIAL CORE,37000,2695,1264,213.21,42.568,SELL
DOUGLASDALE/GLEN,10000,641,269,238.29,47.638,SELL
DALHOUSIE,10000,708,221,320.36,64.052,SELL
ALTADORE,15000,685,203,337.44,67.458,SELL
DOVER,10000,1582,314,503.82,100.744,SELL
CRESCENT HEIGHTS,15000,1584,298,531.54,106.279,SELL
DEERFOOT BUSINESS CENTRE,10000,237,42,564.29,112.837,SELL
BANKVIEW,15000,860,149,577.18,115.406,SELL
ALBERT PARK/RADISSON HEIGHTS,10000,1472,209,704.31,140.841,SELL
CRESTMONT,658750,87,10,870.0,172.682,SELL
CLIFF BUNGALOW,15000,584,61,957.38,191.445,SELL
APPLEWOOD PARK,10000,438,37,1183.78,236.737,SELL
CAPITOL HILL,10000,951,23,4134.78,826.937,SELL
COVENTRY HILLS,226250,707,16,4418.75,883.298,SELL
BEDDINGTON HEIGHTS,10000,975,19,5131.58,1026.296,SELL
BOWNESS,10000,1776,33,5381.82,1076.344,SELL
